Age,EmployeeNumber,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PercentSalaryHike,Attrition Flag,Age Group,Income Group,Tenure Group,Salary Hike Group
41,1,Yes,Sales,1,2,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,8,Yes,1,8,1,6,4,0,5,11,1,Mid,Medium,Mid,Low
49,2,No,Research & Development,8,1,Life Sciences,3,Male,2,2,Research Scientist,2,Married,5130,1,No,4,10,3,10,7,1,7,23,0,Senior,Medium,Long,High
37,4,Yes,Research & Development,2,2,Other,4,Male,2,1,Laboratory Technician,3,Single,2090,6,Yes,2,7,3,0,0,0,0,15,1,Mid,Low,Early,Medium
33,5,No,Research & Development,3,4,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,1,Yes,3,8,3,8,7,3,0,11,0,Mid,Low,Long,Low
27,7,No,Research & Development,2,1,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,4,6,3,2,2,2,2,12,0,Young,Low,Early,Low
32,8,No,Research & Development,2,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,0,No,3,8,2,7,7,3,6,13,0,Mid,Low,Long,Medium
59,10,No,Research & Development,3,3,Medical,3,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,1,12,2,1,0,0,0,20,0,Senior,Low,Early,High
30,11,No,Research & Development,24,1,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,2,1,3,1,0,0,0,22,0,Mid,Low,Early,High
38,12,No,Research & Development,23,3,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,9526,0,No,2,10,3,9,7,1,8,21,0,Mid,Medium,Long,High
36,13,No,Research & Development,27,3,Medical,3,Male,3,2,Healthcare Representative,3,Married,5237,6,No,2,17,2,7,7,7,7,13,0,Mid,Medium,Long,Medium
35,14,No,Research & Development,16,3,Medical,1,Male,4,1,Laboratory Technician,2,Married,2426,0,No,3,6,3,5,4,0,3,13,0,Mid,Low,Mid,Medium
29,15,No,Research & Development,15,2,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,4193,0,Yes,4,10,3,9,5,0,8,12,0,Young,Low,Long,Low
31,16,No,Research & Development,26,1,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2911,1,No,4,5,2,5,2,4,3,17,0,Mid,Low,Mid,Medium
